gauge_code,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,nat_region,flag_ind,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,map
1996,,,,,,,Brazil,-1.8211,-66.6,52,8766,,,,,,Amazonia,Definitivo,100,0,0,-1.8211,-66.6,0.523636341,0.898181796,1,1,3350.412568
2001,,,,,,,Brazil,-1.3947,-69.4283,82,8766,,,,,,Amazonia,Definitivo,100,0,0,-1.3947,-69.4283,0.50545454,0.50545454,1,1,2893.125212
5349,,,,,,,Brazil,-2.8903,-66.9492,58,8766,,,,,,Amazonia,Definitivo,100,0,0,-2.8903,-66.9492,0.50545454,0.865454555,1,1,2812.918258
5351,,,,,,,Brazil,-2.75,-67.5667,100,8766,,,,,,Amazonia,Definitivo,100,0,0,-2.75,-67.5667,0.523636341,0.523636341,1,1,2708.282529
5352,,,,,,,Brazil,-2.8806,-68.7986,84,8766,,,,,,Amazonia,Definitivo,100,0,0,-2.8806,-68.7986,0.516363621,0.516363621,1,1,1871.669337
5354,,,,,,,Brazil,-2.9297,-69.6931,101,8766,,,,,,Amazonia,Definitivo,100,0,0,-2.9297,-69.6931,0.563636363,0.563636363,1,1,2624.986723
6347,,,,,,,Brazil,-3.1017,-67.9356,53,8766,,,,,,Amazonia,Definitivo,100,0,0,-3.1017,-67.9356,0.49454546,0.512727261,1,1,2286.250902
6348,,,,,,,Brazil,-3.3372,-67.4889,65,8766,,,,,,Amazonia,Definitivo,100,0,0,-3.3372,-67.4889,0.4909091,0.4909091,1,1,2495.475881
6349,,,,,,,Brazil,-3.4569,-68.9119,71,8766,,,,,,Amazonia,Definitivo,100,0,0,-3.4569,-68.9119,0.632727265,0.694545448,1,1,2873.00021
6350,,,,,,,Brazil,-3.5731,-69.3708,68,8766,,,,,,Amazonia,Definitivo,100,0,0,-3.5731,-69.3708,0.512727261,0.512727261,1,1,1884.596063
