date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,month,day,nat_region,flag_ind,pcp_ideam,p_na,p_sd,p_sd_q,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,mean_gauges_v2_005,mean_gauges_v3_005,max_gauges_v2_005,max_gauges_v3_005,kge_chirp_v2,r_chirp_v2,B_chirp_v2,G_chirp_v2,kge_chirp_v3,r_chirp_v3,B_chirp_v3,G_chirp_v3,kge_chirp_v3_scale,r_chirp_v3_scale,B_chirp_v3_scale,G_chirp_v3_scale,kge_chirps_v2,r_chirps_v2,B_chirps_v2,G_chirps_v2,kge_chirps_v3_era5,r_chirps_v3_era5,B_chirps_v3_era5,G_chirps_v3_era5,kge_chirps_v3_imerg,r_chirps_v3_imerg,B_chirps_v3_imerg,G_chirps_v3_imerg,kge_chirps_v3_era5_scale,r_chirps_v3_era5_scale,B_chirps_v3_era5_scale,G_chirps_v3_era5_scale,kge_chirps_v3_imerg_scale,r_chirps_v3_imerg_scale,B_chirps_v3_imerg_scale,G_chirps_v3_imerg_scale,rmse_chirpv2,rmse_chirpv3,rmse_chirpsv2,rmse_chirpsv3_era5,rmse_chirpsv3_imerg
1/1/1990,11010010,13.2,Definitivo,VUELTA LA [11010010],Pluviométrica,Convencional,Activa,Chocó,Cértegui,5.4589,-76.5447,98,1/14/1943 19:00,"",0,Caribe,Atrato - Darién,Río Andágueda,1990,1,1,Pacifico,Definitivo,13.2,1.374,3.894,2.748,76.634,0,23.366,5.4589,-76.5447,2.23272728919983,2.90181827545166,4,4,0.79347825050354,0.938405811786652,1,1,-0.0770486019977053,0.0668997732611992,0.735809502300973,0.53142659182285,-0.0770486019977053,0.0668997732611992,0.735809502300973,0.53142659182285,-0.082504918014876,0.0668997732611993,0.714378177416987,0.53142659182285,0.021091644537736,0.0327554481080447,0.91286822874556,0.877087024007924,0.0648091185577682,0.0922767337022901,1.03179440317279,0.777267935668433,0.0673092227447996,0.0936745917306695,1.03203432870536,0.782146512337447,0.0653481205257003,0.0922767337022901,1.00174216682803,0.777267935668433,0.0678574203491806,0.0936745917306695,1.00197510424476,0.782146512337447,34.549027134465,34.549027134465,40.8412864105502,39.5762139200481,39.6448218029103
1/1/1990,11020010,"","",CARMEN DE ATRATO [11020010],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.9085,-76.1421,1850,10/15/1958,"",Ariporo,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,0.084,1.613,0.215,66.766,0,33.234,5.9085,-76.1421,1.16727268695831,2.42181825637817,2,3,0.590579688549042,0.800724625587463,1,1,0.0219379051587171,0.129828251419537,1.02435919607277,0.554115240331736,0.0219379051587171,0.129828251419537,1.02435919607277,0.554115240331736,0.0217329285361842,0.129327532309866,0.986444163913247,0.554183718977479,0.127378912809048,0.127612415649486,1.00766811396206,0.9813274396598,0.163795264816188,0.243089167560179,0.93653916099107,0.650290016168585,0.142190984338483,0.16216970683868,0.936245302088687,0.827338349059111,0.160113208511995,0.242675520747824,0.901874648246164,0.650370380281329,0.138681126826536,0.161901406632232,0.901591666065322,0.827440593151298,12.4929597467308,12.4929597467308,15.138349212459,11.9600964700056,13.3951808647778
1/1/1990,11020050,"","",PINON EL [11020050],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.7577,-76.2509,715,10/15/1958,"",Canal Principal,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,15,2.987,7.514,6.296,54.342,0,45.658,5.7577,-76.2509,0.5672727227211,0.570909082889557,1,1,0.56521737575531,0.568840563297272,1,1,-0.0608036417753541,0.0803433714832406,0.889494372188393,0.482965612119461,-0.0608036417753541,0.0803433714832406,0.889494372188393,0.482965612119461,-0.0650931614300101,0.0799761399109128,0.856005951834453,0.483042309773182,0.0742030059157418,0.0865483193310386,0.998876246567467,0.849318751940659,0.0760796186547806,0.220546858349467,1.25730490254266,0.575882259079248,0.0922774903356307,0.170258558456046,1.25670494118496,0.736197293593926,0.0880646050252082,0.22042257897218,1.20996884690711,0.575973712418745,0.104451050526875,0.170160898882635,1.20939147339119,0.736314205861957,26.4797116373245,26.4797116373245,31.3673528781679,27.7837215821416,31.3378224429292
1/1/1990,11025010,"","",MANSA LA [11025010],Climática Ordinaria,Convencional,Activa,Antioquia,Ciudad Bolívar,5.8783,-76.0843,2018,7/15/1973,"",Moniquira,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,1.362,4.336,4.336,0,0,100,5.8783,-76.0843,1.16727268695831,2.42181825637817,2,3,0.572463750839233,0.826086938381195,1,1,-0.022519217399366,0.156002162609213,1.33968362623705,0.533279275693551,-0.022519217399366,0.156002162609213,1.33968362623705,0.533279275693551,-0.00744299817630156,0.155492373159023,1.29010367285233,0.53353658044873,0.0551516113469495,0.111654924737117,1.31945950259353,0.960921476497417,0.139431897599358,0.244058654006376,1.18067474372804,0.630558831117054,0.11313671778975,0.149544435609202,1.19028923603873,0.835556024807044,0.147267415525762,0.243608959992336,1.13697950284421,0.630863072802529,0.121298175070645,0.149222766222772,1.14623817526486,0.835959176679243,10.1319749793596,10.1319749793596,13.4640253419631,9.598157760272,11.4227714411332
1/1/1990,11035020,10.6,Preliminar,SAN ISIDRO [11035020],Pluviométrica,Convencional,Activa,Chocó,Rio Quito (Paimadó),5.6262,-76.7497,53,3/15/1983,"",La Chorrera,Caribe,Atrato - Darién,Río Quito,1990,1,1,Pacifico,Preliminar,10.6,3.584,8.768,8.768,0,0,100,5.6262,-76.7497,3.32727265357971,4.55636358261108,5,5,0.568840563297272,0.789855062961578,1,1,0.00461774250933966,0.0598848615239132,1.02090012568247,0.673606756072145,0.00461774250933966,0.0598848615239132,1.02090012568247,0.673606756072145,0.0046164794428436,0.0596591791034536,0.989854017251045,0.673741586182937,0.0295426437037823,0.0699065512114232,1.23399175791417,0.851805822859829,0.0772983305287427,0.122563896164455,1.15505225412835,0.760327195909378,0.063525966130306,0.0926985177859648,1.15513439643024,0.827602333169455,0.082508322902912,0.12248163294217,1.11992650908874,0.760479384109895,0.0687026846849282,0.0926691086232412,1.12000615340014,0.827767987259571,28.1199884311086,28.1199884311086,33.6139188571068,29.8665136046802,31.5396475160507
1/1/1990,11040010,38,Preliminar,TUTUNENDO [11040010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,5.7436,-76.5378,54,1/15/1966,"",Sotaquira,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,38,0.585,2.556,2.556,0,0,100,5.7436,-76.5378,3.32727265357971,4.55636358261108,5,5,0.880434811115265,0.989130437374115,1,1,-0.07894904669699,0.0788633359729261,0.655247032714618,0.5563969306899,-0.07894904669699,0.0788633359729261,0.655247032714618,0.5563969306899,-0.0858881456799152,0.0784378975247066,0.635158847068797,0.556415409039819,0.0627021171971565,0.0834295731934365,0.809052492238036,0.955671419041189,0.0835292584430102,0.118066318201748,1.16869091576456,0.816547074217089,0.0815703801480394,0.106004984973607,1.1690920262597,0.874725236441001,0.0893916754479517,0.118007812384479,1.13286186365699,0.816574192343969,0.0873826719037624,0.105892536724131,1.13325067713789,0.874754286707295,34.1768866129992,34.1768866129992,38.8715462602994,41.5304326395926,43.2463196913245
1/1/1990,11045010,8.3,Preliminar,AEROPUERTO EL CARANO [11045010],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Quibdó,5.6906,-76.6438,75,2/14/1947 19:00,"",0,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,8.3,0.012,1.672,1.672,0,0,100,5.6906,-76.6438,3.32727265357971,4.55636358261108,5,5,0.945652186870575,0.996376812458038,1,1,0.00341274589137197,0.11663327382634,0.836818912597865,0.568466322455289,0.00341274589137197,0.11663327382634,0.836818912597865,0.568466322455289,-0.00135347134453001,0.116306030348964,0.811293589839785,0.568509984657143,0.0608841954961318,0.0640965602812292,1.02128183758601,0.925365362059674,0.125931773865471,0.151116510223457,1.10068633171397,0.817642254541398,0.0999918843422145,0.114128948757045,1.10182024286528,0.878017513706127,0.129116028327333,0.151057491541309,1.06711231295143,0.817705055203023,0.103044422001489,0.11399029209227,1.06821163663384,0.878084951611241,27.5347429126387,27.5347429126387,34.4426520584195,32.1536434417782,33.9488369279732
1/1/1990,11050010,0,Preliminar,TAGACHI [11050010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,6.2218,-76.727,20,1/15/1966,"",Magdalena,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Preliminar,0,1.314,3.608,3.608,0,0,100,6.2218,-76.727,0.585454523563385,0.803636372089386,1,1,0.583333313465118,0.800724625587463,1,1,-0.0859948204330367,0.0516783289591803,0.717372188991129,0.552571482037561,-0.0859948204330367,0.0516783289591803,0.717372188991129,0.552571482037561,-0.0923127476208771,0.0516603096151301,0.693963277327162,0.552629354302869,0.0294487175654488,0.0572728820818101,0.842445995127078,0.831441082924935,0.0577948146825676,0.0946063220994036,1.06848239568738,0.74835926256346,0.0576043536627282,0.0892356747381531,1.0710275352209,0.768541607829354,0.0594855386075127,0.0943765795933714,1.03361624057433,0.748437640198205,0.0595039450103085,0.0891238005661339,1.0360783284543,0.768622099214225,32.6907278603404,32.6907278603404,36.335686009756,37.2088809608286,37.738371629149
1/1/1990,11050060,0,Preliminar,ALTO DEL BUEY [11050060],Pluviométrica,Convencional,Activa,Chocó,Medio Atrato (Beté),6.1083,-76.9156,100,2/15/1977,"",Casanare,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),1990,1,1,Pacifico,Preliminar,0,3.118,7.478,7.478,0,0,100,6.1083,-76.9156,1.08000004291534,1.57818186283112,2,2,0.52173912525177,0.789855062961578,1,1,0.0160162279838548,0.0873371656462556,1.01656125469935,0.632581520302403,0.0160162279838548,0.0873371656462556,1.01656125469935,0.632581520302403,0.0159084441149525,0.0872762689632744,0.983162602602119,0.632456692054503,0.0724888312924907,0.100617544875584,1.19295026430976,0.881011080371558,0.0850071574317697,0.136442332024604,1.09909185556704,0.714236356069796,0.10644879783509,0.121238795872555,1.09609842196802,0.869701917488804,0.0880698372975074,0.136340057993605,1.06298169856735,0.71409541475227,0.109594471268747,0.121256999236476,1.06008661285135,0.869530297921886,23.7710418025169,23.7710418025169,28.8116858901449,24.7167626294694,27.0267864796845
1/1/1990,11060010,137,Definitivo,BUCHADO [11060010],Pluviométrica,Convencional,Activa,Antioquia,Vigia Del Fuerte,6.42,-76.7793,18,1/15/1969,"",Cauca,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Definitivo,137,2.031,5.292,4.062,97.408,0,2.592,6.42,-76.7793,0.574545443058014,0.789090931415558,1,1,0.572463750839233,0.786231875419617,1,1,-0.086859606422939,0.0764664182055938,1.01793051403897,0.427262691944973,-0.086859606422939,0.0764664182055938,1.01793051403897,0.427262691944973,-0.0867566260920256,0.0765636291658075,0.984502763001533,0.427230352566661,0.00406539638487691,0.0871039005751006,1.16558760344443,0.637940347569149,0.00228163832213224,0.110459414583702,1.12142524716353,0.564781221133929,0.00535475504047434,0.0949798892962141,1.12080077765351,0.605456042169431,0.00600823536564465,0.110387686894102,1.08459883961187,0.564738473021543,0.00909086171150619,0.0949338792869067,1.08399487701368,0.605410215392677,28.1771947258371,28.1771947258371,31.8011712265989,29.9074189421999,30.7276029291466
