date,gauge_code,pcp,quality_flag,name,category,tecnology,operation,state,municipality,latitude,longitude,elevation,instalation_date,suspention_date,stream,hidrographic_area,hidrographic_zone,hidrographic_subzone,year,month,day,nat_region,flag_ind,pcp_ideam,p_na,p_sd,p_sd_q,p_def,p_rev,p_prel,lat,long,mean_gauges_v2,mean_gauges_v3,max_gauges_v2,max_gauges_v3,kge_chirp_v2,r_chirp_v2,B_chirp_v2,G_chirp_v2,kge_chirp_v3,r_chirp_v3,B_chirp_v3,G_chirp_v3,kge_chirps_v2,r_chirps_v2,B_chirps_v2,G_chirps_v2,kge_chirps_v3,r_chirps_v3,B_chirps_v3,G_chirps_v3,rmse_chirpv2,rmse_chirpv3,rmse_chirpsv2,rmse_chirpsv3
1/1/1990,11010010,13.2,Definitivo,VUELTA LA [11010010],Pluviométrica,Convencional,Activa,Chocó,Cértegui,5.4589,-76.5447,98,1/14/1943 19:00,"",0,Caribe,Atrato - Darién,Río Andágueda,1990,1,1,Pacifico,Definitivo,13.2,1.374,3.894,2.748,76.634,0,23.366,5.4589,-76.5447,2.23272728919983,2.90181827545166,4,4,-0.548644074530536,-0.465928235315323,0.791229621261864,0.546383634063566,-0.354134946600364,-0.330447884578536,0.938731378898481,0.755385944612359,0.117061786136494,0.251538516872464,0.932459424263198,0.536509365354436,0.344925020597528,0.574306141050249,1.01312749512823,0.50226951473385,736.330754556413,590.03867402279,439.878291014163,334.567888476143
1/1/1990,11020010,"","",CARMEN DE ATRATO [11020010],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.9085,-76.1421,1850,10/15/1958,"",Ariporo,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,0.084,1.613,0.215,66.766,0,33.234,5.9085,-76.1421,1.16727268695831,2.42181825637817,2,3,-0.488801877225312,-0.320776279300823,0.988862093143153,0.313008736084123,-0.419099495180178,-0.297138773990957,0.840003788707092,0.447120636484061,0.28673184842535,0.603876458110397,0.97831279821766,0.407237601656106,0.281533181426846,0.601476805382412,0.906883744646666,0.409489038432482,343.513157524884,389.278118892402,249.401246130215,268.679711279131
1/1/1990,11020050,"","",PINON EL [11020050],Pluviométrica,Convencional,Activa,Chocó,El Carmen (Choco),5.7577,-76.2509,715,10/15/1958,"",Canal Principal,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,15,2.987,7.514,6.296,54.342,0,45.658,5.7577,-76.2509,0.5672727227211,0.570909082889557,1,1,-0.143708922582201,0.1057840760553,0.926670994282757,0.290725132351086,-0.167122697233266,0.00193400728229667,1.14383937369041,0.412335215319287,0.148158683344553,0.520425176416967,0.987673440085219,0.296089726408788,0.25778462833268,0.764639208092644,1.27358198848329,0.351430920294892,681.341066810578,783.645395360403,584.239853934682,721.397312859444
1/1/1990,11025010,"","",MANSA LA [11025010],Climática Ordinaria,Convencional,Activa,Antioquia,Ciudad Bolívar,5.8783,-76.0843,2018,7/15/1973,"",Moniquira,Caribe,Atrato - Darién,Alto Atrato,1990,1,1,Andes,Preliminar,0,1.362,4.336,4.336,0,0,100,5.8783,-76.0843,1.16727268695831,2.42181825637817,2,3,-0.013700751489407,0.0903189913302417,1.40412361647448,0.808287249658906,-0.039371137694451,0.00462151356704265,1.17414982068226,0.756718536310244,0.291007969792499,0.410077027718407,1.39108791638239,0.958637851459547,0.310930367706523,0.35516906746579,1.24060660763033,0.966556211925777,299.866296484636,167.678095861598,286.413229269051,197.016782793132
1/1/1990,11035020,10.6,Preliminar,SAN ISIDRO [11035020],Pluviométrica,Convencional,Activa,Chocó,Rio Quito (Paimadó),5.6262,-76.7497,53,3/15/1983,"",La Chorrera,Caribe,Atrato - Darién,Río Quito,1990,1,1,Pacifico,Preliminar,10.6,3.584,8.768,8.768,0,0,100,5.6262,-76.7497,3.32727265357971,4.55636358261108,5,5,0.266731344777695,0.346772643150152,1.04069509051557,0.6693629624461,0.304339549711275,0.328274072885727,1.16931264727349,0.936274271980439,0.362931405498914,0.558845419184694,1.29079291589073,0.644080753550711,0.335045945471019,0.52998056991148,1.22885170060688,0.589058971258487,255.456086972764,429.365229749082,573.720419090735,469.925501836711
1/1/1990,11040010,38,Preliminar,TUTUNENDO [11040010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,5.7436,-76.5378,54,1/15/1966,"",Sotaquira,Caribe,Atrato - Darién,Río Bebaramá y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,38,0.585,2.556,2.556,0,0,100,5.7436,-76.5378,3.32727265357971,4.55636358261108,5,5,0.0210872699369431,0.180367841406475,0.713270629891262,0.548049199584874,-0.221169256045439,-0.175845319147466,1.15770965187521,0.710569864984715,0.318559289369613,0.467695336929135,0.881245376527772,0.591453151791097,0.121347563987462,0.312201989175429,1.22020595440701,0.499526886576082,917.442530118698,839.508301838883,556.733436130362,776.744572513341
1/1/1990,11045010,8.3,Preliminar,AEROPUERTO EL CARANO [11045010],Climática Ordinaria,Automática con Telemetría,Activa,Chocó,Quibdó,5.6906,-76.6438,75,2/14/1947 19:00,"",0,Caribe,Atrato - Darién,Río Cabi y otros Directos Atrato (md),1990,1,1,Pacifico,Preliminar,8.3,0.012,1.672,1.672,0,0,100,5.6906,-76.6438,3.32727265357971,4.55636358261108,5,5,-0.174627819717285,-0.147249829228984,0.860620492516104,0.789900744691,-0.204640924149097,-0.197272281748346,1.11156159784031,1.07247654364839,0.256579520367583,0.288724162702192,1.10210193215971,0.80938025217085,0.285204241655548,0.353152295224574,1.17140535577311,0.748720818637362,460.231203553854,514.304039163495,375.586412645944,473.417268074839
1/1/1990,11050010,0,Preliminar,TAGACHI [11050010],Pluviométrica,Convencional,Activa,Chocó,Quibdó,6.2218,-76.727,20,1/15/1966,"",Magdalena,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Preliminar,0,1.314,3.608,3.608,0,0,100,6.2218,-76.727,0.585454523563385,0.803636372089386,1,1,-0.040904739345677,0.160773685624696,0.698918248395064,0.462848579539402,-0.190499280528363,-0.100862610978905,1.05886599358734,0.55063951721782,0.394019962007795,0.570476226073818,0.823325274603001,0.610760773452701,0.286387781910296,0.460767756349,1.09361871258497,0.542062753351567,763.459087779486,549.701815469035,516.411909078976,442.773562927959
1/1/1990,11050060,0,Preliminar,ALTO DEL BUEY [11050060],Pluviométrica,Convencional,Activa,Chocó,Medio Atrato (Beté),6.1083,-76.9156,100,2/15/1977,"",Casanare,Caribe,Atrato - Darién,Directos Atrato entre ríos Quito y Bojayá (mi),1990,1,1,Pacifico,Preliminar,0,3.118,7.478,7.478,0,0,100,6.1083,-76.9156,1.08000004291534,1.57818186283112,2,2,-0.205299209741401,0.107375924387151,1.03928123249447,0.191034345961914,-0.26101069256961,-0.0470777487495468,1.06690542505203,0.300500308115096,0.235766542274366,0.714010790541673,1.18386482323943,0.315561049650292,0.293866727135289,0.840899088952131,1.11408169442924,0.321548479147905,599.594489333869,643.888558354005,538.998890407325,465.145794850975
1/1/1990,11060010,137,Definitivo,BUCHADO [11060010],Pluviométrica,Convencional,Activa,Antioquia,Vigia Del Fuerte,6.42,-76.7793,18,1/15/1969,"",Cauca,Caribe,Atrato - Darién,Directos Atrato entre ríos Bebaramá y Murrí (md),1990,1,1,Pacifico,Definitivo,137,2.031,5.292,4.062,97.408,0,2.592,6.42,-76.7793,0.574545443058014,0.789090931415558,1,1,-0.341320359573551,-0.146469735997669,1.00385219380369,0.303772585967161,-0.547571998470808,-0.432092640055278,1.10084374944713,0.422141627258131,0.196208915070183,0.4514666260776,1.13117795278281,0.427301483667302,0.134297957652525,0.399432598939934,1.1413861019754,0.392736636148079,402.091840528191,490.002255083827,375.569213019989,390.482054357183
